tenure,MonthlyCharges,Contract,Churn,TenureGroup,ChargeGroup
64,94.25,Month-to-month,No,49-72,High
37,40.2,Month-to-month,No,25-48,Medium
13,19.95,Two year,No,13-24,Low
49,55.35,One year,No,49-72,Medium
45,102.15,One year,No,25-48,High
18,71.1,Month-to-month,No,13-24,High
1,74.7,Month-to-month,Yes,0-12,High
68,54.1,Two year,No,49-72,Medium
54,19.65,Two year,No,49-72,Low
23,88.45,Month-to-month,No,13-24,High
17,76.65,Month-to-month,Yes,13-24,High
71,80.4,Two year,No,49-72,High
67,19.25,Two year,No,49-72,Low
14,84.8,Month-to-month,No,13-24,High
1,25.8,Month-to-month,Yes,0-12,Low
63,19.5,Two year,No,49-72,Low
41,68.6,One year,No,25-48,Medium
17,92.6,Month-to-month,No,13-24,High
56,100.55,One year,No,49-72,High
5,20.55,Month-to-month,No,0-12,Low
2,42.6,Month-to-month,Yes,0-12,Medium
3,19.6,Month-to-month,No,0-12,Low
37,67.45,One year,No,25-48,Medium
29,68.85,Month-to-month,Yes,25-48,Medium
8,43.55,Month-to-month,No,0-12,Medium
63,109.85,Month-to-month,No,49-72,High
7,20.65,Month-to-month,No,0-12,Low
3,95.4,Month-to-month,No,0-12,High
72,21.0,Two year,No,49-72,Low
19,56.2,Month-to-month,No,13-24,Medium
59,18.4,Two year,No,49-72,Low
2,90.0,Month-to-month,Yes,0-12,High
35,25.75,Month-to-month,No,25-48,Low
14,19.6,Month-to-month,No,13-24,Low
14,75.35,Month-to-month,Yes,13-24,High
69,19.8,Two year,No,49-72,Low
7,64.2,Month-to-month,No,0-12,Medium
69,75.75,Two year,No,49-72,High
72,78.95,Two year,No,49-72,High
8,100.85,Month-to-month,Yes,0-12,High
4,50.3,Month-to-month,No,0-12,Medium
63,80.3,Month-to-month,No,49-72,High
72,19.85,Two year,No,49-72,Low
46,21.1,Two year,No,25-48,Low
5,69.95,Month-to-month,Yes,0-12,Medium
30,50.0,Month-to-month,No,25-48,Medium
63,104.75,Two year,No,49-72,High
60,19.85,Two year,No,49-72,Low
63,107.5,One year,Yes,49-72,High
25,85.9,Month-to-month,No,25-48,High
1,45.85,Month-to-month,Yes,0-12,Medium
6,80.8,Month-to-month,No,0-12,High
22,25.25,Two year,No,13-24,Low
31,80.55,Two year,No,25-48,High
39,81.5,Month-to-month,No,25-48,High
26,20.9,Month-to-month,No,25-48,Low
53,106.1,One year,Yes,49-72,High
1,91.7,Month-to-month,Yes,0-12,High
12,67.25,Month-to-month,No,0-12,Medium
16,95.6,Month-to-month,Yes,13-24,High
2,20.35,Month-to-month,No,0-12,Low
39,45.05,One year,No,25-48,Medium
1,74.95,Month-to-month,Yes,0-12,High
7,34.65,Month-to-month,No,0-12,Low
4,69.35,Month-to-month,No,0-12,Medium
10,95.35,Month-to-month,Yes,0-12,High
55,81.55,Month-to-month,No,49-72,High
72,75.4,Two year,No,49-72,High
10,67.8,Month-to-month,No,0-12,Medium
11,111.4,Month-to-month,No,0-12,High
15,46.3,Month-to-month,No,13-24,Medium
23,20.4,Two year,No,13-24,Low
1,20.05,Month-to-month,No,0-12,Low
3,45.0,Month-to-month,Yes,0-12,Medium
47,96.1,One year,No,25-48,High
15,19.65,One year,No,13-24,Low
66,99.5,Month-to-month,Yes,49-72,High
68,60.65,One year,No,49-72,Medium
17,98.6,One year,Yes,13-24,High
7,59.5,Month-to-month,Yes,0-12,Medium
12,80.45,Month-to-month,Yes,0-12,High
21,71.7,One year,No,13-24,High
21,36.0,Month-to-month,No,13-24,Medium
56,65.2,One year,No,49-72,Medium
6,48.95,Month-to-month,No,0-12,Medium
65,53.5,Two year,No,49-72,Medium
42,80.45,One year,No,25-48,High
68,109.05,Two year,No,49-72,High
48,26.3,Two year,No,25-48,Low
50,106.8,One year,No,49-72,High
7,64.95,Month-to-month,No,0-12,Medium
63,19.35,Two year,No,49-72,Low
17,21.1,Month-to-month,No,13-24,Low
42,77.95,Month-to-month,Yes,25-48,High
4,18.85,Month-to-month,No,0-12,Low
62,26.0,Two year,No,49-72,Low
2,74.7,Month-to-month,Yes,0-12,High
2,70.35,Month-to-month,No,0-12,High
48,96.9,Two year,No,25-48,High
27,19.55,Two year,No,25-48,Low
70,80.4,Two year,No,49-72,High
1,88.8,Month-to-month,Yes,0-12,High
46,94.65,One year,No,25-48,High
30,90.25,Month-to-month,Yes,25-48,High
15,64.65,Month-to-month,Yes,13-24,Medium
69,95.75,One year,No,49-72,High
65,19.55,Two year,No,49-72,Low
72,104.1,Two year,No,49-72,High
13,89.05,Month-to-month,Yes,13-24,High
17,20.1,One year,No,13-24,Low
51,111.55,One year,No,49-72,High
51,60.5,Two year,No,49-72,Medium
72,90.95,Two year,No,49-72,High
67,87.4,One year,Yes,49-72,High
34,19.7,Month-to-month,No,25-48,Low
67,50.95,Two year,No,49-72,Medium
49,20.05,One year,No,49-72,Low
53,19.4,Two year,No,49-72,Low
27,59.45,Month-to-month,No,25-48,Medium
23,94.75,Month-to-month,Yes,13-24,High
69,81.5,Two year,No,49-72,High
2,29.05,Month-to-month,No,0-12,Low
35,86.45,Month-to-month,Yes,25-48,High
46,70.6,One year,No,25-48,High
54,97.2,Two year,No,49-72,High
56,98.25,One year,Yes,49-72,High
9,75.75,Month-to-month,Yes,0-12,High
20,59.2,Month-to-month,No,13-24,Medium
11,75.9,Month-to-month,No,0-12,High
30,90.05,Month-to-month,No,25-48,High
68,70.95,Two year,No,49-72,High
38,102.6,Month-to-month,No,25-48,High
17,85.35,Month-to-month,Yes,13-24,High
48,106.1,One year,Yes,25-48,High
1,43.8,Month-to-month,No,0-12,Medium
63,59.0,Two year,No,49-72,Medium
3,69.95,One year,No,0-12,Medium
48,24.35,One year,No,25-48,Low
66,29.45,One year,No,49-72,Low
68,84.4,Two year,No,49-72,High
17,45.05,Month-to-month,Yes,13-24,Medium
7,20.65,One year,No,0-12,Low
72,87.1,Two year,No,49-72,High
29,19.85,Month-to-month,No,25-48,Low
37,90.35,Month-to-month,No,25-48,High
34,109.8,Month-to-month,Yes,25-48,High
42,84.65,Month-to-month,Yes,25-48,High
59,65.5,One year,No,49-72,Medium
11,79.5,Month-to-month,Yes,0-12,High
60,80.95,Month-to-month,No,49-72,High
27,56.15,Month-to-month,No,25-48,Medium
1,85.8,Month-to-month,Yes,0-12,High
1,79.1,Month-to-month,Yes,0-12,High
17,34.4,Month-to-month,No,13-24,Low
58,20.75,Two year,No,49-72,Low
1,18.8,One year,No,0-12,Low
3,44.3,Month-to-month,Yes,0-12,Medium
53,90.8,Month-to-month,No,49-72,High
35,25.6,Month-to-month,No,25-48,Low
50,105.95,Month-to-month,Yes,49-72,High
68,70.8,Two year,No,49-72,High
47,25.4,Month-to-month,No,25-48,Low
65,108.8,Month-to-month,No,49-72,High
5,69.75,Month-to-month,Yes,0-12,Medium
51,94.65,Month-to-month,Yes,49-72,High
46,96.05,Month-to-month,Yes,25-48,High
9,76.85,Month-to-month,No,0-12,High
8,20.25,Two year,No,0-12,Low
14,24.8,One year,No,13-24,Low
45,115.65,Month-to-month,No,25-48,High
8,74.6,Month-to-month,No,0-12,High
1,50.15,Month-to-month,Yes,0-12,Medium
66,103.15,One year,No,49-72,High
72,72.1,Two year,No,49-72,High
41,113.6,Month-to-month,Yes,25-48,High
23,25.1,Two year,No,13-24,Low
29,78.9,Month-to-month,Yes,25-48,High
4,80.15,Month-to-month,No,0-12,High
6,25.4,Two year,No,0-12,Low
67,105.4,One year,No,49-72,High
7,45.75,Month-to-month,No,0-12,Medium
56,24.45,One year,No,49-72,Low
72,25.0,Two year,No,49-72,Low
72,85.25,Two year,No,49-72,High
23,19.6,Two year,No,13-24,Low
35,50.15,Month-to-month,No,25-48,Medium
27,70.55,Month-to-month,No,25-48,High
26,60.05,Month-to-month,Yes,25-48,Medium
12,26.4,One year,No,0-12,Low
40,20.15,Two year,No,25-48,Low
7,58.85,Month-to-month,No,0-12,Medium
70,97.55,Month-to-month,No,49-72,High
60,19.65,Two year,No,49-72,Low
39,25.25,One year,No,25-48,Low
72,114.45,Two year,No,49-72,High
1,34.7,Month-to-month,Yes,0-12,Low
54,70.7,One year,No,49-72,High
3,85.3,Month-to-month,Yes,0-12,High
63,75.55,Two year,No,49-72,High
71,84.8,Two year,No,49-72,High
42,20.65,One year,No,25-48,Low
47,20.45,Two year,No,25-48,Low
66,102.45,One year,Yes,49-72,High
21,104.4,Month-to-month,Yes,13-24,High
11,35.65,Month-to-month,No,0-12,Medium
1,99.75,Month-to-month,Yes,0-12,High
55,90.45,Month-to-month,No,49-72,High
69,97.65,Two year,No,49-72,High
3,73.85,Month-to-month,No,0-12,High
4,74.4,Month-to-month,Yes,0-12,High
30,69.1,Two year,No,25-48,Medium
5,82.75,Month-to-month,No,0-12,High
71,24.4,Two year,No,49-72,Low
29,55.25,One year,No,25-48,Medium
52,61.35,Month-to-month,No,49-72,Medium
68,76.75,One year,No,49-72,High
46,19.4,Two year,No,25-48,Low
8,54.75,Month-to-month,No,0-12,Medium
72,19.7,Two year,No,49-72,Low
17,19.9,One year,No,13-24,Low
3,107.95,Month-to-month,No,0-12,High
2,83.8,Month-to-month,No,0-12,High
9,74.25,Month-to-month,Yes,0-12,High
51,56.4,One year,No,49-72,Medium
6,20.1,Two year,No,0-12,Low
3,94.9,Month-to-month,No,0-12,High
17,94.2,Month-to-month,No,13-24,High
30,49.9,Month-to-month,No,25-48,Medium
31,71.05,Month-to-month,No,25-48,High
45,81.65,Two year,No,25-48,High
64,89.45,One year,No,49-72,High
1,59.85,Month-to-month,Yes,0-12,Medium
1,69.6,Month-to-month,Yes,0-12,Medium
61,99.0,One year,No,49-72,High
1,19.05,Month-to-month,No,0-12,Low
9,45.4,Month-to-month,Yes,0-12,Medium
72,114.45,Two year,No,49-72,High
1,19.5,Month-to-month,Yes,0-12,Low
7,44.25,Month-to-month,No,0-12,Medium
66,90.55,One year,No,49-72,High
1,69.9,Month-to-month,Yes,0-12,Medium
40,20.4,Month-to-month,No,25-48,Low
16,71.4,Month-to-month,No,13-24,High
2,87.15,Month-to-month,Yes,0-12,High
67,24.85,Two year,No,49-72,Low
41,104.45,One year,No,25-48,High
56,19.8,Two year,No,49-72,Low
72,116.45,Two year,No,49-72,High
3,84.75,Month-to-month,Yes,0-12,High
54,20.05,Two year,No,49-72,Low
52,110.75,Month-to-month,No,49-72,High
50,89.7,Two year,No,49-72,High
14,89.95,Month-to-month,Yes,13-24,High
27,48.7,One year,No,25-48,Medium
72,96.6,Two year,No,49-72,High
62,74.3,One year,No,49-72,High
12,54.3,Month-to-month,No,0-12,Medium
44,74.85,One year,No,25-48,High
54,79.95,Two year,No,49-72,High
68,20.05,Two year,No,49-72,Low
20,19.4,Month-to-month,No,13-24,Low
50,54.9,One year,No,49-72,Medium
58,24.45,Two year,No,49-72,Low
35,89.65,Month-to-month,No,25-48,High
2,45.4,Month-to-month,No,0-12,Medium
63,75.7,Two year,No,49-72,High
58,110.65,One year,No,49-72,High
27,20.55,One year,No,25-48,Low
71,115.15,Two year,No,49-72,High
63,58.55,One year,No,49-72,Medium
71,93.25,Month-to-month,No,49-72,High
41,113.2,Month-to-month,Yes,25-48,High
13,90.5,Month-to-month,Yes,13-24,High
2,79.0,Month-to-month,Yes,0-12,High
68,19.35,Two year,No,49-72,Low
1,48.75,Month-to-month,No,0-12,Medium
65,109.05,Two year,No,49-72,High
72,25.0,Two year,No,49-72,Low
28,54.9,Month-to-month,No,25-48,Medium
72,24.75,Two year,No,49-72,Low
2,91.15,Month-to-month,No,0-12,High
18,20.15,One year,Yes,13-24,Low
60,104.35,One year,No,49-72,High
26,66.05,Month-to-month,No,25-48,Medium
1,71.65,Month-to-month,Yes,0-12,High
4,20.35,Month-to-month,Yes,0-12,Low
68,92.2,Two year,No,49-72,High
38,84.25,Month-to-month,Yes,25-48,High
42,105.2,One year,No,25-48,High
57,19.6,Two year,No,49-72,Low
54,30.4,Month-to-month,No,49-72,Low
12,78.1,Month-to-month,Yes,0-12,High
44,61.5,One year,No,25-48,Medium
42,69.4,Month-to-month,No,25-48,Medium
72,24.75,Two year,No,49-72,Low
71,91.05,Two year,No,49-72,High
19,89.65,Month-to-month,Yes,13-24,High
23,73.65,Month-to-month,No,13-24,High
30,19.4,Two year,No,25-48,Low
35,26.2,One year,No,25-48,Low
10,98.7,Month-to-month,Yes,0-12,High
1,43.85,Month-to-month,No,0-12,Medium
22,69.7,Month-to-month,No,13-24,Medium
7,38.55,Two year,No,0-12,Medium
36,53.1,Two year,No,25-48,Medium
34,20.65,Month-to-month,No,25-48,Low
72,64.45,Two year,No,49-72,Medium
36,25.1,Two year,No,25-48,Low
1,76.35,Month-to-month,Yes,0-12,High
23,79.15,Month-to-month,Yes,13-24,High
32,85.0,Month-to-month,Yes,25-48,High
71,95.15,One year,No,49-72,High
23,79.35,Month-to-month,No,13-24,High
17,96.65,One year,No,13-24,High
1,75.5,Month-to-month,No,0-12,High
12,19.7,Two year,No,0-12,Low
72,20.5,Two year,No,49-72,Low
1,19.2,Month-to-month,No,0-12,Low
72,98.35,Two year,No,49-72,High
60,74.35,Month-to-month,No,49-72,High
61,51.35,Two year,No,49-72,Medium
6,45.65,Month-to-month,No,0-12,Medium
32,85.3,Month-to-month,Yes,25-48,High
31,86.55,Month-to-month,Yes,25-48,High
19,73.85,Month-to-month,Yes,13-24,High
72,20.3,Two year,No,49-72,Low
32,54.2,Month-to-month,No,25-48,Medium
65,90.65,Month-to-month,No,49-72,High
45,50.9,Month-to-month,No,25-48,Medium
42,25.05,One year,No,25-48,Low
8,74.85,Month-to-month,No,0-12,High
32,20.5,Two year,No,25-48,Low
22,63.55,Month-to-month,No,13-24,Medium
57,44.85,Month-to-month,Yes,49-72,Medium
1,47.95,Month-to-month,No,0-12,Medium
1,45.1,Month-to-month,Yes,0-12,Medium
1,45.0,Month-to-month,No,0-12,Medium
24,96.0,Month-to-month,Yes,13-24,High
1,20.05,Month-to-month,Yes,0-12,Low
54,90.05,Month-to-month,No,49-72,High
4,25.3,Two year,No,0-12,Low
65,108.65,Two year,Yes,49-72,High
56,24.3,One year,No,49-72,Low
45,75.95,Month-to-month,No,25-48,High
71,19.7,Two year,No,49-72,Low
59,66.4,One year,No,49-72,Medium
69,35.75,One year,No,49-72,Medium
19,18.8,One year,No,13-24,Low
55,19.4,Two year,No,49-72,Low
38,19.3,One year,No,25-48,Low
10,45.55,Month-to-month,Yes,0-12,Medium
47,67.45,Month-to-month,No,25-48,Medium
2,35.1,Month-to-month,Yes,0-12,Medium
1,46.2,Month-to-month,Yes,0-12,Medium
1,45.15,Month-to-month,Yes,0-12,Medium
1,43.3,Month-to-month,Yes,0-12,Medium
46,20.1,Two year,No,25-48,Low
38,57.15,Month-to-month,Yes,25-48,Medium
65,58.9,Two year,No,49-72,Medium
19,73.2,Month-to-month,Yes,13-24,High
52,85.35,Month-to-month,Yes,49-72,High
71,19.45,Two year,No,49-72,Low
1,45.95,Month-to-month,Yes,0-12,Medium
52,50.5,Month-to-month,No,49-72,Medium
6,25.1,One year,No,0-12,Low
26,60.7,One year,No,25-48,Medium
48,99.0,One year,No,25-48,High
64,104.4,One year,No,49-72,High
3,83.75,Month-to-month,Yes,0-12,High
1,44.05,Month-to-month,No,0-12,Medium
72,24.1,Two year,No,49-72,Low
1,45.55,Month-to-month,No,0-12,Medium
51,93.8,Month-to-month,No,49-72,High
41,19.7,Two year,No,25-48,Low
72,70.65,Two year,No,49-72,High
43,86.45,Two year,No,25-48,High
72,114.1,Two year,No,49-72,High
47,95.2,One year,No,25-48,High
72,88.55,Two year,No,49-72,High
3,20.75,Month-to-month,No,0-12,Low
1,70.05,Month-to-month,Yes,0-12,High
2,86.0,Month-to-month,Yes,0-12,High
26,44.65,Month-to-month,No,25-48,Medium
29,60.2,Month-to-month,No,25-48,Medium
35,100.5,Month-to-month,Yes,25-48,High
27,55.45,One year,No,25-48,Medium
24,70.3,Month-to-month,No,13-24,High
67,60.4,Two year,No,49-72,Medium
16,72.65,Month-to-month,Yes,13-24,High
23,55.8,One year,No,13-24,Medium
14,31.1,Month-to-month,No,13-24,Low
1,21.0,Month-to-month,Yes,0-12,Low
1,45.1,Month-to-month,Yes,0-12,Medium
4,50.95,Month-to-month,No,0-12,Medium
16,69.1,Month-to-month,No,13-24,Medium
46,43.95,Month-to-month,No,25-48,Medium
68,86.5,Two year,No,49-72,High
38,69.95,Month-to-month,No,25-48,Medium
30,50.4,Month-to-month,Yes,25-48,Medium
5,78.95,Month-to-month,Yes,0-12,High
17,90.95,Month-to-month,No,13-24,High
4,19.9,Two year,No,0-12,Low
12,20.15,One year,No,0-12,Low
72,90.6,Two year,No,49-72,High
3,92.0,Month-to-month,No,0-12,High
56,94.45,Month-to-month,Yes,49-72,High
41,24.85,One year,No,25-48,Low
40,36.0,One year,No,25-48,Medium
7,78.5,Month-to-month,No,0-12,High
69,19.95,Two year,No,49-72,Low
7,20.65,One year,No,0-12,Low
5,30.5,Month-to-month,No,0-12,Low
72,106.1,Two year,No,49-72,High
44,20.5,One year,No,25-48,Low
65,95.5,One year,No,49-72,High
3,64.6,Month-to-month,No,0-12,Medium
24,51.1,Month-to-month,No,13-24,Medium
44,84.8,Month-to-month,Yes,25-48,High
72,89.1,Two year,No,49-72,High
24,54.95,Month-to-month,No,13-24,Medium
1,50.9,Month-to-month,Yes,0-12,Medium
22,20.45,Month-to-month,No,13-24,Low
70,85.95,Two year,No,49-72,High
25,60.35,Month-to-month,No,25-48,Medium
37,19.8,Two year,No,25-48,Low
22,85.35,Month-to-month,No,13-24,High
59,72.1,Two year,No,49-72,High
49,99.8,Month-to-month,Yes,49-72,High
47,107.35,Month-to-month,Yes,25-48,High
31,19.55,Month-to-month,Yes,25-48,Low
1,81.05,Month-to-month,No,0-12,High
3,20.5,Month-to-month,No,0-12,Low
53,111.8,One year,No,49-72,High
1,20.2,Month-to-month,No,0-12,Low
20,19.7,One year,No,13-24,Low
3,79.1,Month-to-month,Yes,0-12,High
51,19.85,One year,No,49-72,Low
51,60.5,One year,No,49-72,Medium
13,19.55,Two year,No,13-24,Low
1,20.9,Month-to-month,No,0-12,Low
1,21.05,Month-to-month,No,0-12,Low
63,71.5,One year,No,49-72,High
3,54.65,Month-to-month,No,0-12,Medium
46,19.2,Two year,No,25-48,Low
1,49.8,Month-to-month,No,0-12,Medium
8,25.5,Month-to-month,Yes,0-12,Low
71,20.5,Two year,No,49-72,Low
55,90.4,Month-to-month,No,49-72,High
70,90.25,One year,No,49-72,High
2,80.75,Month-to-month,Yes,0-12,High
67,104.6,Two year,No,49-72,High
65,91.85,Month-to-month,Yes,49-72,High
14,50.2,Month-to-month,No,13-24,Medium
20,95.5,Month-to-month,No,13-24,High
1,75.35,Month-to-month,Yes,0-12,High
1,75.45,Month-to-month,Yes,0-12,High
49,95.4,Month-to-month,No,49-72,High
72,101.3,Two year,No,49-72,High
46,53.1,Month-to-month,No,25-48,Medium
24,84.85,Month-to-month,No,13-24,High
5,34.25,Month-to-month,No,0-12,Low
33,88.6,Month-to-month,No,25-48,High
42,60.15,One year,No,25-48,Medium
23,99.95,One year,No,13-24,High
8,70.7,Month-to-month,No,0-12,High
66,54.8,One year,No,49-72,Medium
24,49.55,Month-to-month,Yes,13-24,Medium
24,54.8,Month-to-month,No,13-24,Medium
69,78.6,One year,Yes,49-72,High
53,100.3,One year,No,49-72,High
60,53.6,Two year,No,49-72,Medium
7,81.1,Month-to-month,Yes,0-12,High
20,19.35,One year,No,13-24,Low
23,85.6,Month-to-month,No,13-24,High
72,80.8,Two year,No,49-72,High
11,74.95,Month-to-month,Yes,0-12,High
21,19.6,Two year,No,13-24,Low
1,93.55,Month-to-month,Yes,0-12,High
31,90.7,Month-to-month,No,25-48,High
57,69.75,Two year,No,49-72,Medium
45,20.0,Two year,No,25-48,Low
10,95.25,Month-to-month,No,0-12,High
58,102.1,Month-to-month,Yes,49-72,High
14,19.95,Month-to-month,No,13-24,Low
27,80.85,One year,No,25-48,High
14,90.9,Month-to-month,Yes,13-24,High
12,29.2,Month-to-month,Yes,0-12,Low
69,93.3,Two year,No,49-72,High
25,89.15,Month-to-month,Yes,25-48,High
58,108.85,One year,Yes,49-72,High
35,46.35,Two year,No,25-48,Medium
16,84.75,Month-to-month,Yes,13-24,High
45,78.75,One year,No,25-48,High
17,83.55,Month-to-month,No,13-24,High
1,45.7,Month-to-month,Yes,0-12,Medium
22,19.6,One year,No,13-24,Low
1,69.95,Month-to-month,Yes,0-12,Medium
67,67.85,Two year,No,49-72,Medium
67,105.65,Two year,No,49-72,High
2,44.6,Month-to-month,Yes,0-12,Medium
23,74.95,Month-to-month,Yes,13-24,High
9,75.5,Month-to-month,No,0-12,High
5,20.15,Month-to-month,No,0-12,Low
54,45.2,Two year,No,49-72,Medium
57,95.25,Two year,Yes,49-72,High
24,89.85,Month-to-month,Yes,13-24,High
49,100.45,One year,Yes,49-72,High
5,47.15,Month-to-month,Yes,0-12,Medium
2,80.2,Month-to-month,Yes,0-12,High
4,87.1,Month-to-month,Yes,0-12,High
70,79.25,Two year,No,49-72,High
5,75.9,Month-to-month,Yes,0-12,High
53,85.7,Month-to-month,No,49-72,High
47,98.75,Month-to-month,Yes,25-48,High
31,20.1,One year,No,25-48,Low
13,61.8,Month-to-month,No,13-24,Medium
28,49.9,Month-to-month,No,25-48,Medium
10,86.45,Month-to-month,Yes,0-12,High
38,20.4,Two year,No,25-48,Low
1,45.3,Month-to-month,Yes,0-12,Medium
67,104.1,One year,Yes,49-72,High
52,75.4,One year,No,49-72,High
62,108.15,Two year,No,49-72,High
16,86.25,Month-to-month,No,13-24,High
5,81.0,Month-to-month,Yes,0-12,High
12,95.7,One year,No,0-12,High
72,116.85,Two year,No,49-72,High
71,105.75,One year,No,49-72,High
24,20.15,One year,No,13-24,Low
15,19.6,Two year,No,13-24,Low
67,90.6,One year,Yes,49-72,High
2,60.95,Month-to-month,No,0-12,Medium
5,25.05,Month-to-month,No,0-12,Low
15,88.15,Month-to-month,Yes,13-24,High
1,20.2,Month-to-month,Yes,0-12,Low
41,60.3,One year,No,25-48,Medium
43,63.95,Month-to-month,No,25-48,Medium
1,74.3,Month-to-month,No,0-12,High
1,70.6,Month-to-month,No,0-12,High
26,90.8,Month-to-month,Yes,25-48,High
22,79.35,Month-to-month,Yes,13-24,High
71,90.55,Two year,No,49-72,High
7,19.45,Two year,No,0-12,Low
28,64.45,Month-to-month,No,25-48,Medium
16,69.65,Month-to-month,No,13-24,Medium
7,19.5,One year,No,0-12,Low
69,110.5,Two year,No,49-72,High
1,24.7,Month-to-month,No,0-12,Low
3,77.4,Month-to-month,No,0-12,High
21,96.8,Month-to-month,Yes,13-24,High
69,85.4,Month-to-month,No,49-72,High
71,47.6,Two year,No,49-72,Medium
69,19.4,Two year,No,49-72,Low
48,103.85,Month-to-month,No,25-48,High
47,83.35,Month-to-month,Yes,25-48,High
2,49.4,Month-to-month,Yes,0-12,Medium
45,108.45,Month-to-month,No,25-48,High
51,81.0,Month-to-month,No,49-72,High
22,79.2,Month-to-month,Yes,13-24,High
72,86.65,Two year,No,49-72,High
37,92.95,Month-to-month,No,25-48,High
71,90.35,Two year,No,49-72,High
7,48.7,Month-to-month,Yes,0-12,Medium
66,25.15,Two year,No,49-72,Low
51,76.4,One year,No,49-72,High
30,19.55,One year,No,25-48,Low
34,85.35,Month-to-month,No,25-48,High
64,24.8,Two year,No,49-72,Low
65,103.15,One year,No,49-72,High
47,100.75,Month-to-month,No,25-48,High
1,95.6,Month-to-month,Yes,0-12,High
49,59.75,Month-to-month,Yes,49-72,Medium
67,94.1,Two year,No,49-72,High
39,19.35,One year,No,25-48,Low
14,19.9,Month-to-month,No,13-24,Low
43,108.15,Month-to-month,Yes,25-48,High
56,101.05,Month-to-month,No,49-72,High
14,59.1,One year,No,13-24,Medium
1,71.35,Month-to-month,Yes,0-12,High
16,55.85,One year,No,13-24,Medium
70,106.05,Month-to-month,No,49-72,High
72,84.1,Two year,No,49-72,High
23,75.3,Month-to-month,No,13-24,High
21,24.7,Month-to-month,No,13-24,Low
1,20.15,Month-to-month,Yes,0-12,Low
1,69.75,Month-to-month,Yes,0-12,Medium
32,93.2,Month-to-month,Yes,25-48,High
17,80.85,Month-to-month,Yes,13-24,High
4,33.65,Month-to-month,Yes,0-12,Low
36,55.8,One year,No,25-48,Medium
50,39.7,Two year,No,49-72,Medium
48,29.5,Month-to-month,No,25-48,Low
50,20.15,Two year,No,49-72,Low
72,79.55,Two year,No,49-72,High
10,24.8,Month-to-month,No,0-12,Low
18,19.65,Month-to-month,No,13-24,Low
1,79.95,Month-to-month,Yes,0-12,High
1,19.3,Month-to-month,Yes,0-12,Low
9,94.05,Month-to-month,No,0-12,High
2,90.75,Month-to-month,No,0-12,High
40,78.85,Month-to-month,No,25-48,High
69,99.5,One year,No,49-72,High
37,99.2,One year,Yes,25-48,High
18,80.55,Month-to-month,No,13-24,High
11,70.2,Month-to-month,No,0-12,High
8,85.2,Month-to-month,Yes,0-12,High
3,75.25,Month-to-month,Yes,0-12,High
55,59.45,One year,No,49-72,Medium
33,93.35,Month-to-month,No,25-48,High
46,44.95,Month-to-month,No,25-48,Medium
34,26.1,Two year,No,25-48,Low
3,20.2,Month-to-month,No,0-12,Low
30,21.25,Two year,No,25-48,Low
33,59.4,One year,No,25-48,Medium
45,95.0,One year,No,25-48,High
40,61.9,Month-to-month,No,25-48,Medium
71,118.65,Two year,No,49-72,High
1,54.35,Month-to-month,Yes,0-12,Medium
72,64.45,Two year,No,49-72,Medium
22,80.15,Month-to-month,No,13-24,High
46,20.2,One year,No,25-48,Low
55,21.0,Two year,No,49-72,Low
1,20.45,Month-to-month,No,0-12,Low
12,75.85,One year,No,0-12,High
31,80.45,Month-to-month,No,25-48,High
5,24.95,Month-to-month,Yes,0-12,Low
67,75.5,Two year,No,49-72,High
1,44.45,Month-to-month,No,0-12,Medium
40,42.35,One year,Yes,25-48,Medium
41,74.55,Month-to-month,No,25-48,High
1,75.3,Month-to-month,Yes,0-12,High
51,94.8,One year,Yes,49-72,High
42,48.15,Two year,No,25-48,Medium
23,19.65,One year,No,13-24,Low
1,70.55,Month-to-month,Yes,0-12,High
1,20.15,Month-to-month,No,0-12,Low
56,106.6,Month-to-month,No,49-72,High
15,91.0,Month-to-month,No,13-24,High
12,25.4,Two year,No,0-12,Low
54,69.95,Two year,No,49-72,Medium
7,66.85,Month-to-month,No,0-12,Medium
33,86.15,Month-to-month,Yes,25-48,High
16,20.15,Month-to-month,No,13-24,Low
21,64.85,One year,No,13-24,Medium
30,74.85,Two year,No,25-48,High
3,50.5,Month-to-month,No,0-12,Medium
11,72.9,Month-to-month,No,0-12,High
62,115.05,One year,No,49-72,High
18,19.0,Month-to-month,No,13-24,Low
6,19.55,Month-to-month,No,0-12,Low
46,101.1,One year,No,25-48,High
21,84.1,Month-to-month,No,13-24,High
68,24.15,Two year,No,49-72,Low
1,50.1,Month-to-month,No,0-12,Medium
25,74.6,Month-to-month,No,25-48,High
24,19.75,Two year,No,13-24,Low
30,85.0,Month-to-month,Yes,25-48,High
2,80.55,Month-to-month,Yes,0-12,High
51,106.8,One year,No,49-72,High
57,84.5,Two year,No,49-72,High
15,25.05,Two year,No,13-24,Low
72,83.7,Two year,No,49-72,High
2,75.8,Month-to-month,Yes,0-12,High
28,96.6,Month-to-month,No,25-48,High
29,98.5,Month-to-month,Yes,25-48,High
70,101.1,Two year,No,49-72,High
13,20.2,One year,No,13-24,Low
59,94.05,One year,No,49-72,High
13,95.25,Month-to-month,Yes,13-24,High
7,74.4,Month-to-month,Yes,0-12,High
62,81.0,Two year,No,49-72,High
21,60.25,One year,No,13-24,Medium
